zip,event_count,total_customer_impact
54914,373,28424
53142,227,19330
53158,117,15513
53207,160,11490
53233,32,9672
53140,110,9157
53154,79,8299
54952,141,8249
53218,157,7944
53210,150,7478
54915,183,7403
53209,303,7114
53144,230,6754
54956,236,6745
53224,70,6620
53204,180,6129
53215,125,5852
53110,51,5519
53214,101,5433
53404,101,5091
53213,99,4891
53219,87,4730
54911,121,4604
53205,37,4527
53094,49,4471
53105,102,4266
54519,71,3825
54166,9,3782
53089,93,3471
53216,135,3468
53177,46,3468
54913,108,3463
53046,12,3457
53208,156,3368
53222,97,3208
53217,148,3198
53172,67,3182
53186,64,2898
53212,112,2869
53143,199,2678
53504,1,2587
53225,139,2581
53226,75,2547
53405,85,2446
53095,56,2430
53051,87,2418
53151,60,2416
53076,30,2286
49969,62,2270
53168,48,2125
53066,42,2027
53005,61,2024
53090,35,2020
53017,46,1999
53220,53,1916
53402,97,1835
53092,77,1761
54942,15,1759
54151,22,1709
53022,42,1660
53171,8,1648
53150,55,1638
54957,1,1578
53211,65,1569
53190,54,1524
53103,7,1453
53403,61,1429
53228,20,1402
53013,11,1357
53202,44,1317
54169,2,1295
53033,33,1232
54944,24,1107
53183,7,1094
53070,11,1081
53149,46,1078
54540,77,1068
53118,29,1066
53024,30,1063
53075,20,1050
53146,12,1011
54195,1,1004
53223,82,984
54554,16,945
53108,11,922
53188,54,878
54590,1,872
53235,55,841
53072,40,807
54130,21,774
53045,39,769
53098,52,764
53176,1,697
53083,1,694
53121,46,690
53085,12,658
53104,55,655
53006,5,647
53538,35,647
49989,1,604
53182,23,599
53227,42,579
53048,3,578
53206,160,554
49807,3,550
49845,1,545
53082,1,543
53029,17,496
53027,46,480
53170,20,468
53406,42,452
54310,1,422
53036,10,373
54106,27,372
53063,3,360
53185,26,350
53115,14,315
54111,8,291
53167,1,283
54170,27,267
53001,10,266
53093,8,260
53130,10,259
53035,10,241
53120,25,234
53147,7,232
49801,15,231
54124,5,211
53119,24,209
53549,7,202
53179,22,199
53018,12,196
53579,13,194
49935,11,188
53042,4,184
53129,19,180
53059,15,177
53122,15,177
54121,10,175
54961,26,164
53189,34,150
53004,9,148
53221,42,147
54929,9,146
53050,11,139
53012,9,138
53156,11,138
53097,15,133
53132,34,125
53139,7,124
53126,21,123
53073,6,122
49964,1,122
53916,2,119
49880,2,115
54940,21,104
53563,9,101
53038,1,100
53047,1,98
54521,5,95
53559,18,90
53011,11,78
54983,15,74
54136,5,71
53086,9,71
53080,8,70
54165,16,68
49929,1,67
53058,6,65
53148,3,62
49912,1,59
53021,14,57
53153,4,49
49920,10,49
53002,6,47
53594,11,46
53037,10,45
53026,1,44
53010,7,38
54542,6,38
54129,18,37
54107,9,29
53040,12,27
53074,8,26
53091,10,26
54155,5,25
53007,4,25
54115,4,24
54981,6,23
53031,1,22
49886,3,18
54937,9,17
54922,4,16
49948,3,16
53152,1,16
49896,5,14
49818,1,13
53078,6,12
49837,2,12
49812,2,12
53203,2,12
53049,2,12
54935,5,11
53020,6,10
53015,8,10
53039,7,9
54162,6,7
53079,4,6
49802,5,5
53023,5,5
49814,5,5
53127,2,5
49892,3,5
53178,4,4
49887,4,4
49881,3,3
53531,3,3
49874,1,3
54965,3,3
53019,1,2
53540,1,2
49831,2,2
53137,2,2
49861,2,2
49847,1,2
54949,2,2
54947,1,2
54511,1,1
49891,1,1
53551,1,1
49815,1,1
53057,1,1
54137,1,1
54931,1,1
53016,1,1
54950,1,1
