zip,event_count,total_customer_impact
54914,373,28424
53142,226,19326
53158,114,15506
53207,158,11471
53233,32,9672
53140,108,9155
53154,79,8299
54952,141,8249
53218,150,7891
53210,147,7451
54915,181,7401
53209,293,7091
54956,235,6744
53144,228,6738
53224,69,6619
53204,177,6107
53215,124,5851
53110,48,5514
53214,101,5433
53404,100,5090
53213,97,4889
53219,87,4730
54911,121,4604
53205,36,4526
53094,46,4468
53105,101,4265
54519,71,3825
54166,9,3782
53089,93,3471
53177,46,3468
53046,11,3456
54913,107,3384
53208,155,3367
53222,96,3207
53172,66,3181
53217,116,2978
53212,112,2869
53186,62,2826
53143,196,2663
53504,1,2587
53225,138,2568
53226,75,2547
53405,83,2434
53216,129,2428
53095,54,2427
53151,59,2422
53051,86,2417
53076,27,2283
49969,62,2270
53168,48,2125
53005,61,2024
53066,40,2019
53090,34,2019
53017,46,1999
53220,53,1916
53402,95,1797
54942,15,1759
54151,22,1709
53171,8,1648
53150,54,1637
53022,39,1635
54957,1,1578
53211,64,1568
53092,66,1524
53190,53,1516
53103,7,1453
53403,61,1429
53228,20,1402
53013,9,1355
53202,43,1316
54169,2,1295
53033,32,1231
54944,24,1107
53183,7,1094
53070,11,1081
53149,46,1078
54540,77,1068
53118,27,1064
53024,29,1060
53075,17,1047
54195,1,1004
53146,11,1002
53223,82,984
54554,16,945
53108,10,918
54590,1,872
53188,50,845
53235,55,841
54130,20,773
53098,50,761
53072,38,751
53045,32,725
53176,1,697
53083,1,694
53121,45,689
53085,12,658
53104,55,655
53006,5,647
53538,35,647
49989,1,604
53227,42,579
53048,3,578
53182,21,556
49807,3,550
53206,154,548
49845,1,545
53082,1,543
53029,17,496
53027,41,474
53170,20,468
53406,42,452
54310,1,422
53036,10,373
54106,27,372
53063,3,360
53185,26,350
53115,14,315
54111,8,291
53167,1,283
54170,27,267
53001,9,263
53093,8,260
53130,9,258
53035,9,240
49801,15,231
53147,6,231
53120,24,225
53119,23,208
53549,7,202
54124,4,202
53179,22,199
53018,12,196
53579,13,194
53042,3,183
53059,15,177
53122,15,177
54121,10,175
49935,7,174
53129,16,170
53004,9,148
53221,42,147
53012,9,138
53156,11,138
53050,8,136
53097,12,126
53139,7,124
53126,21,123
53073,6,122
49964,1,122
54929,7,120
53189,28,119
53916,2,119
49880,2,115
54961,23,113
53132,30,109
54940,21,104
53563,9,101
53038,1,100
53047,1,98
54521,3,93
53559,15,86
53011,11,78
54983,13,72
54136,5,71
53080,8,70
54165,16,68
53086,6,68
49929,1,67
53058,6,65
53148,3,62
49912,1,59
53021,13,56
49920,10,49
53002,6,47
53594,11,46
53037,10,45
53026,1,44
54542,6,38
53010,6,37
54129,16,30
54107,9,29
53040,12,27
53074,8,26
53007,4,25
54155,4,24
54115,4,24
54981,6,23
53031,1,22
49886,3,18
54937,9,17
49948,3,16
53152,1,16
49896,5,14
49818,1,13
53078,6,12
49837,2,12
53091,9,12
49812,2,12
53203,2,12
53049,2,12
54935,5,11
53020,6,10
53015,8,10
53039,7,9
54162,6,7
53079,4,6
49802,5,5
53023,5,5
53127,2,5
49892,3,5
54922,3,4
53178,4,4
49814,4,4
53153,3,3
49881,3,3
53531,3,3
49874,1,3
54965,3,3
53019,1,2
53540,1,2
49831,2,2
53137,2,2
49861,2,2
49847,1,2
49887,2,2
54949,2,2
54947,1,2
54511,1,1
49891,1,1
53551,1,1
49815,1,1
53057,1,1
54137,1,1
54931,1,1
53016,1,1
54950,1,1
